MLSNum,HouseStatus,StatusChangeTimestamp,PropType,ListPrice,ClosePrice,Address,City,Acres,SqFtTotal,SqFtEstHeatedAboveGrade,StyleorRentType,RoomsTotal,BedsTotal,Bathrooms,GaragePark,YearBuilt,DaysonMarket,AgentID,listingagent,PhoneNumber,Email,Year,Year_Month,Day_of_Week
170468648,CLSD,2022-04-27,SF,249900,250000.0,54 Abbotsford Ave,West Hartford,0.13,1250,1250,Colonial,6,3,1.5, Car/Off Street Parking,1908,29,9,Evan L Berman,9590048141,evanlberman@example.com,2022,2022-04,Wednesday
170469857,CLSD,2022-03-26,SF,299900,385000.0,14 Brookline Dr,West Hartford,0.4,2178,2178,Colonial,8,3,1.5,1 Car/Attached Garage,1937,3,9,Evan L Berman,9590048141,evanlberman@example.com,2022,2022-03,Saturday
170484953,CLSD,2022-05-27,SF,89900,170000.0,17 Stillbrook Rd,Avon,0.96,1236,1056,Split Level,7,3,1.5,1 Car/Attached Garage,1957,4,9,Evan L Berman,9590048141,evanlberman@example.com,2022,2022-05,Friday
170520041,CLSD,2022-09-21,SF,299000,350000.0,49 Forest Dr,Newington,0.27,2304,1264,Ranch,8,3,2.0,2 Car/Attached Garage,1958,4,9,Evan L Berman,9590048141,evanlberman@example.com,2022,2022-09,Wednesday
170483845,CLSD,2022-06-06,SF,250000,240000.0,2 Yorkshire Ln,Avon,0.95,2182,2182,Colonial,7,3,1.5, Car/Unpaved,1830,16,10,Timothy H Kronk,2032497690,timothyhkronk@example.com,2022,2022-06,Monday
170464418,CLSD,2022-03-21,SF,235000,245400.0,"9 Gray Pine Cmn, Unit #9",Avon,0.0,1632,1632,Cape Cod,6,3,2.0,2 Car/Detached Garage,1978,4,11,Bill S Mamak,8602839066,billsmamak@example.com,2022,2022-03,Monday
170498631,CLSD,2022-08-06,SF,329900,325000.0,"19 Calla Lily Ln, Unit #19",South Windsor,0.0,1538,1538,Colonial,6,3,1.5,1 Car/Attached Garage,1992,7,11,Bill S Mamak,8602839066,billsmamak@example.com,2022,2022-08,Saturday
170521496,CLSD,2022-10-25,SF,234900,265000.0,14 Barry Rd,Manchester,0.22,1269,1269,Cape Cod,6,3,2.0, Car/On Street Parking,1951,5,11,Bill S Mamak,8602839066,billsmamak@example.com,2022,2022-10,Tuesday
170541975,CLSD,2023-03-14,SF,319900,258000.0,22 Sunnybrook Dr,Avon,0.88,1624,1624,Cape Cod,7,3,2.0,3 Car/Attached Garage,1953,26,12,Scott A Bayne,9590297196,scottabayne@example.com,2023,2023-03,Tuesday
170521825,CLSD,2022-10-28,SF,270000,270000.0,"1 September Way, Unit #1",Avon,0.0,1632,1632,Cape Cod,6,3,2.0,2 Car/Detached Garage,1978,5,13,Deborah Northrop,4752579580,deborahnorthrop@example.com,2022,2022-10,Friday
170492259,CLSD,2022-07-05,SF,249900,270000.0,"3 Dove Cir, Unit #3",Avon,0.0,1632,1632,"Cape Cod, Contemporary",6,3,2.0,2 Car/Detached Garage,1978,4,14,Sally C Albrecht,2032129951,sallycalbrecht@example.com,2022,2022-07,Tuesday
170530489,CLSD,2022-12-20,SF,309900,302500.0,71 Arch Rd,Avon,0.46,1568,1568,Colonial,7,3,1.5," Car/Paved, Driveway",1950,25,15,Elizabeth Peling,4755165879,elizabethpeling@example.com,2022,2022-12,Tuesday
170536971,CLSD,2023-01-28,SF,315000,310000.0,17 Stillbrook Rd,Avon,0.96,1236,1056,Split Level,6,3,1.5,1 Car/Attached Garage,1957,68,16,Karina Capanna,2030895188,karinacapanna@example.com,2023,2023-01,Saturday
170485681,CLSD,2022-05-24,SF,369900,380000.0,21 Delbon Ln,Avon,0.42,2110,1650,Cape Cod,6,3,2.0,2 Car/Attached Garage,1981,3,17,Laura Minster,9591169597,lauraminster@example.com,2022,2022-05,Tuesday
170524899,CLSD,2023-02-01,SF,338000,328000.0,14 Goodwill Trl,Avon,0.34,1422,1422,"Cottage, Other",7,3,1.5,"2 Car/Detached Garage, Driveway",1933,56,17,Laura Minster,9591169597,lauraminster@example.com,2023,2023-02,Wednesday
170513649,CLSD,2022-09-01,SF,319900,351800.0,79 Moravia Rd,Avon,1.0,1616,1336,Cape Cod,5,3,2.0,2 Car/Attached Garage,1948,3,18,Julie Sirois,2034247392,juliesirois@example.com,2022,2022-09,Thursday
170476858,CLSD,2022-05-18,SF,334900,375000.0,28 Candlewood Ln,Avon,1.19,1959,1959,Ranch,7,3,2.0,2 Car/Attached Garage,1962,15,19,Janet Laviero,8608026989,janetlaviero@example.com,2022,2022-05,Wednesday
170532056,CLSD,2022-12-23,SF,349900,390000.0,529 Lovely St,Avon,0.92,1392,1392,Ranch,6,3,2.0,2 Car/Under House Garage,1983,5,20,Allison Hughes,8602776225,allisonhughes@example.com,2022,2022-12,Friday
170499694,CLSD,2022-08-23,SF,399900,391400.0,147 Arch Rd,Avon,1.9,2064,1614,Ranch,8,3,2.0,"2 Car/Attached Garage, Paved, Off Street Parking",1953,34,21,Matthew Carreras,8605369851,matthewcarreras@example.com,2022,2022-08,Tuesday
170475779,CLSD,2022-05-24,SF,358000,395000.0,73 Harris Rd,Avon,1.24,1651,1651,Ranch,6,3,2.0,2 Car/Attached Garage,1950,5,22,Kelsey Emmons,8608924976,kelseyemmons@example.com,2022,2022-05,Tuesday
170495311,CLSD,2022-08-03,SF,389900,400000.0,146 Scoville Rd,Avon,0.69,1500,1500,Cape Cod,6,3,2.0,2 Car/Attached Garage,1960,8,23,Margo A Ross,4758346806,margoaross@example.com,2022,2022-08,Wednesday
170480532,CLSD,2022-05-07,SF,365000,425000.0,100 Bronson Rd,Avon,1.02,1722,1722,Cape Cod,6,3,2.0,3 Car/Attached Garage,1962,5,24,Raeann Cost,9596425431,raeanncost@example.com,2022,2022-05,Saturday
170478202,CLSD,2022-05-16,SF,399900,430000.0,151 Arch Rd,Avon,1.9,3240,2440,Ranch,7,3,2.0," Car/Paved, Off Street Parking",1953,4,25,Jenny A Reyes,9597322092,jennyareyes@example.com,2022,2022-05,Monday
170494413,CLSD,2022-08-12,SF,427000,480000.0,91 Carriage Dr,Avon,0.93,3160,2012,Ranch,7,3,2.0,2 Car/Attached Garage,1965,2,26,The Trish Murphy Team,8604177201,thetrishmurphyteam@example.com,2022,2022-08,Friday
170497586,CLSD,2022-07-28,SF,399000,476500.0,307 Cumberland Rd,West Hartford,0.25,2057,2057,Ranch,8,3,2.0,1 Car/Attached Garage,1952,3,26,The Trish Murphy Team,8604177201,thetrishmurphyteam@example.com,2022,2022-07,Thursday
170514625,CLSD,2022-09-23,SF,220000,230000.0,41 Cody Ave,Plainville,0.35,1339,1339,Cape Cod,6,3,2.0, Car/Off Street Parking,1982,6,26,The Trish Murphy Team,8604177201,thetrishmurphyteam@example.com,2022,2022-09,Friday
170513348,CLSD,2022-10-11,SF,499900,490000.0,872 W. Avon Rd,Avon,1.66,1764,1764,Ranch,6,3,2.0,2 Car/Attached Garage,1967,31,27,Louis Roy Evjen,4754494341,louisroyevjen@example.com,2022,2022-10,Tuesday
170492381,CLSD,2022-07-17,SF,315000,345000.0,39 Timber Trl,East Hartford,0.44,1569,1569,"Colonial, Raised Ranch",5,3,2.0,1 Car/Attached Garage,1963,3,28,Daniel Czyzewski,9599352545,danielczyzewski@example.com,2022,2022-07,Sunday
170454427,CLSD,2022-03-29,SF,259900,260000.0,156 Avery St,Manchester,0.43,1534,1222,Ranch,7,3,2.0,2 Car/Attached Garage,1975,110,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-03,Tuesday
170463277,CLSD,2022-04-04,SF,215000,220000.0,44 Matthew Rd,East Hartford,0.26,1030,1030,Split Level,5,3,1.5,1 Car/Detached Garage,1960,28,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-04,Monday
170470884,CLSD,2022-03-31,SF,259900,270000.0,282 Batterson Dr,New Britain,0.19,1556,1056,Ranch,5,3,2.0,"1 Car/Attached Garage, Under House Garage, Off Street Parking",1968,5,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-03,Thursday
170478534,CLSD,2022-05-31,SF,279900,305000.0,134 Wickham Dr,East Hartford,0.34,1748,1248,Ranch,6,3,1.5,1 Car/Attached Garage,1963,5,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-05,Tuesday
170479459,CLSD,2022-05-06,SF,249900,265000.0,88 Crystal St,Wethersfield,0.18,978,978,Ranch,5,3,2.0,"1 Car/Carport, Off Street Parking",1956,32,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-05,Friday
170480342,CLSD,2022-05-17,SF,239900,250000.0,37 Deborah Dr,East Hartford,0.28,1344,1344,Ranch,5,3,1.5, Car/Off Street Parking,1957,6,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-05,Tuesday
170486323,CLSD,2022-06-17,SF,275000,280000.0,84 Princeton St,Manchester,0.23,1458,1458,"Cape Cod, Colonial",6,3,1.5,"1 Car/Attached Garage, Off Street Parking",1940,33,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-06,Friday
170488093,CLSD,2022-07-25,SF,264900,290000.0,40 Wilson Ln,Vernon,0.52,1928,1428,Cape Cod,6,3,2.0," Car/Paved, Off Street Parking",1959,5,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-07,Monday
170501585,CLSD,2023-02-02,SF,269900,270000.0,62 Farnham Dr,East Hartford,1.02,1236,1236,Raised Ranch,6,3,2.0,2 Car/Attached Garage,1966,8,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2023,2023-02,Thursday
170505855,CLSD,2022-08-23,SF,299900,300000.0,1608 Manchester Rd,Glastonbury,0.63,1720,1120,Ranch,5,3,1.5,"1 Car/Attached Garage, Under House Garage, Off Street Parking",1954,9,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-08,Tuesday
170507748,CLSD,2022-09-13,SF,399900,422476.0,82 Church St,Wethersfield,0.21,2203,2203,Colonial,7,3,2.0, Car/Off Street Parking,1917,5,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-09,Tuesday
170507792,CLSD,2022-09-01,SF,399900,429000.0,341 Camp St,Middletown,3.2,2331,2331,Ranch,6,3,2.0,2 Car/Attached Garage,1993,3,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-09,Thursday
170507813,CLSD,2022-11-29,SF,249900,250000.0,200 Randolph Rd,Middletown,0.11,1660,1160,Colonial,6,3,2.0," Car/Paved, Off Street Parking",1995,44,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-11,Tuesday
170510394,CLSD,2022-10-21,SF,369900,358000.0,961 Ridge Rd,Wethersfield,0.64,1739,1739,Colonial,7,3,1.5,2 Car/Attached Garage,1939,51,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-10,Friday
170514556,CLSD,2022-09-27,SF,219900,220000.0,73 Evans Ave,East Hartford,0.16,975,975,Ranch,5,3,1.5,1 Car/Detached Garage,1942,7,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-09,Tuesday
170515604,CLSD,2022-10-13,SF,339900,331000.0,64 West St,Rocky Hill,0.67,1512,1512,Colonial,6,3,1.5,1 Car/Attached Garage,2001,26,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-10,Thursday
170520903,CLSD,2022-10-17,SF,299900,316000.0,21 Welch St,Plainville,0.24,1598,1098,Raised Ranch,5,3,2.0, Car/Off Street Parking,1971,5,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-10,Monday
170524942,CLSD,2022-11-02,SF,245000,260000.0,42 Garvan St,Newington,0.17,1693,1288,Cape Cod,6,3,2.0, Car/Off Street Parking,1947,4,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2022,2022-11,Wednesday
170528934,CLSD,2023-01-05,SF,239900,235000.0,66 Governor St,New Britain,0.19,1420,1420,Cape Cod,5,3,2.0,"1 Car/Paved, Driveway",1955,36,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2023,2023-01,Thursday
170532524,CLSD,2023-01-13,SF,299900,310000.0,38 Benton Ln,Glastonbury,0.21,1166,1166,Cape Cod,6,3,2.0,2 Car/Detached Garage,1953,2,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2023,2023-01,Friday
170538593,CLSD,2023-01-20,SF,299900,300000.0,78 Birchwood Rd,East Hartford,0.26,1448,1448,Cape Cod,5,3,1.5,2 Car/Attached Garage,1939,2,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2023,2023-01,Friday
170542761,CLSD,2023-03-02,SF,255000,255000.0,678 Randolph Rd,Middletown,0.35,1586,1152,Ranch,5,3,1.5,1 Car/Under House Garage,1971,5,29,Team Rio of Executive Real Estate,4752991906,teamrioofexecutiverealestate@example.com,2023,2023-03,Thursday
170542505,CLSD,2023-03-04,SF,379000,381500.0,8 Willowbrook Rd,West Hartford,0.3,2414,1314,Ranch,5,3,1.5,2 Car/Attached Garage,1951,6,31,Lisa Fagan,8608307697,lisafagan@example.com,2023,2023-03,Saturday
170479575,CLSD,2022-05-24,SF,324900,350000.0,136 Bailey Rd,Rocky Hill,0.34,1479,1479,Cape Cod,6,3,2.0,1 Car/Attached Garage,1948,3,33,The Generations Team of Keller Williams Legacy Partners,4756847354,thegenerationsteamofkellerwilliamslegacypartners@example.com,2022,2022-05,Tuesday
170479863,CLSD,2022-05-31,SF,334900,330000.0,210 Robindale Dr,Berlin,0.38,1987,1338,Raised Ranch,7,3,2.0,2 Car/Under House Garage,1968,15,35,Stacy King,9599675078,stacyking@example.com,2022,2022-05,Tuesday
170500000,CLSD,2022-10-12,SF,159900,170000.0,286 High Rd,Berlin,0.87,1500,1500,Colonial,6,3,2.0, Car/Carport,1910,32,37,Justin Frytz,8602685715,justinfrytz@example.com,2022,2022-10,Wednesday
170536735,CLSD,2023-01-31,SF,319900,319900.0,210 Elm St,Windsor Locks,0.57,2578,2338,Colonial,10,3,1.5,2 Car/Attached Garage,1994,69,37,Justin Frytz,8602685715,justinfrytz@example.com,2023,2023-01,Tuesday
170496154,CLSD,2022-09-01,SF,475000,478000.0,106 Watch Hill Rd,Berlin,0.58,2188,2188,Ranch,6,3,2.0,3 Car/Attached Garage,2003,26,38,Sally Eigenraam,8604354594,sallyeigenraam@example.com,2022,2022-09,Thursday
170500029,CLSD,2022-08-21,SF,189000,190000.0,4 Hudson St,Berlin,0.31,2250,2250,"Colonial, Antique",7,3,2.0, Car/Off Street Parking,1850,18,38,Sally Eigenraam,8604354594,sallyeigenraam@example.com,2022,2022-08,Sunday
170504684,CLSD,2022-08-28,SF,329000,325000.0,113 Ellsworth St,Newington,0.3,1732,1132,Raised Ranch,7,3,1.5,2 Car/Under House Garage,1977,4,38,Sally Eigenraam,8604354594,sallyeigenraam@example.com,2022,2022-08,Sunday
170439419,CLSD,2022-04-12,SF,170000,200000.0,43 Ledge Rd,Plainville,0.5,3084,2164,Cape Cod,7,3,2.0, Car/Paved,1957,111,39,George M Sznaj,2036470738,georgemsznaj@example.com,2022,2022-04,Tuesday
170485662,CLSD,2022-07-12,SF,247500,285000.0,327 Scott Swamp Rd,Farmington,0.68,1326,1326,Cape Cod,5,3,1.5,2 Car/Detached Garage,1981,14,39,George M Sznaj,2036470738,georgemsznaj@example.com,2022,2022-07,Tuesday
170529658,CLSD,2023-01-30,SF,203500,199500.0,659 Chamberlain Hwy,Berlin,0.68,1056,1056,Split Level,8,3,1.5,"Paved, Driveway",1956,41,39,George M Sznaj,2036470738,georgemsznaj@example.com,2023,2023-01,Monday
170466235,CLSD,2022-04-01,SF,218000,218000.0,364 Alling St,Berlin,0.21,1182,1182,Split Level,5,3,2.0,2 Car/Under House Garage,1955,0,40,Gary L Brummett,2033298194,garylbrummett@example.com,2022,2022-04,Friday
170477194,CLSD,2022-04-29,SF,200000,220000.0,28 Jackson St,New Britain,0.16,1439,1044,Ranch,5,3,1.5,1 Car/Under House Garage,1958,2,41,Nina F Jankowski,8606336587,ninafjankowski@example.com,2022,2022-04,Friday
170510227,CLSD,2022-08-24,SF,295000,300000.0,136 Plumb Rd,Middletown,0.46,1264,1014,Raised Ranch,6,3,1.5, Car/Off Street Parking,1963,10,41,Nina F Jankowski,8606336587,ninafjankowski@example.com,2022,2022-08,Wednesday
170524397,CLSD,2022-10-24,SF,139000,150000.0,112 Russwin Rd,New Britain,0.23,1620,1620,Colonial,7,3,1.5,1 Car/Under House Garage,1924,3,41,Nina F Jankowski,8606336587,ninafjankowski@example.com,2022,2022-10,Monday
170529512,CLSD,2022-11-29,SF,220000,220000.0,115 Cottage St,Berlin,0.25,1638,1638,Colonial,7,3,2.0, Car/Off Street Parking,1890,20,41,Nina F Jankowski,8606336587,ninafjankowski@example.com,2022,2022-11,Tuesday
170463412,CLSD,2022-04-19,SF,245000,245000.0,154 Texas Dr,New Britain,0.29,2124,1188,Ranch,6,3,1.5,2 Car/Attached Garage,1960,3,42,Chris B Rose,8609851765,chrisbrose@example.com,2022,2022-04,Tuesday
170470762,CLSD,2022-05-12,SF,399900,420000.0,64 Hartland Ter,Berlin,0.57,2049,2049,Ranch,7,3,2.0,2 Car/Attached Garage,1949,2,42,Chris B Rose,8609851765,chrisbrose@example.com,2022,2022-05,Thursday
170475158,CLSD,2022-05-13,SF,259000,264000.0,333 Alling St,Berlin,0.28,1287,1287,Cape Cod,6,3,1.5,2 Car/Detached Garage,1949,0,42,Chris B Rose,8609851765,chrisbrose@example.com,2022,2022-05,Friday
170489394,CLSD,2022-06-10,SF,299000,341500.0,73 Oak Ridge Dr,Berlin,0.69,1610,1610,Ranch,6,3,2.0,2 Car/Attached Garage,1965,3,42,Chris B Rose,8609851765,chrisbrose@example.com,2022,2022-06,Friday
170535834,CLSD,2023-01-20,SF,179000,222222.0,18 Main St,Berlin,0.26,2039,2039,"Colonial, Victorian",8,3,1.5,2 Car/Detached Garage,1891,3,42,Chris B Rose,8609851765,chrisbrose@example.com,2023,2023-01,Friday
170402872,CLSD,2022-05-10,SF,349900,225000.0,235 Wethersfield Rd,Berlin,1.8,1372,1372,Ranch,6,3,1.5,1 Car/Attached Garage,1952,335,43,Jolanta Stachowski,8605378530,jolantastachowski@example.com,2022,2022-05,Tuesday
170465469,CLSD,2022-04-11,SF,219000,230000.0,234 Main St,Berlin,0.2,1376,1376,Colonial,6,3,1.5,1 Car/Detached Garage,1900,53,44,Dana L Flanagan,2030534951,danalflanagan@example.com,2022,2022-04,Monday
170482377,CLSD,2022-07-11,SF,449000,514750.0,19 Forest Hills Dr,Farmington,0.92,2158,2158,Ranch,7,3,2.0,2 Car/Attached Garage,1963,66,44,Dana L Flanagan,2030534951,danalflanagan@example.com,2022,2022-07,Monday
170496398,CLSD,2022-07-23,SF,385000,370000.0,86 Olympus Pkwy,Middletown,1.83,2643,2643,Split Level,7,3,2.0,2 Car/Attached Garage,1953,33,44,Dana L Flanagan,2030534951,danalflanagan@example.com,2022,2022-07,Saturday
170506612,CLSD,2022-09-21,SF,399000,417000.0,460 Goff Rd,Wethersfield,0.36,1867,1867,Ranch,7,3,2.0,2 Car/Attached Garage,1990,73,44,Dana L Flanagan,2030534951,danalflanagan@example.com,2022,2022-09,Wednesday
170515343,CLSD,2022-10-21,SF,269000,265000.0,113 Range Hill Dr,Vernon,0.91,1372,1372,Cape Cod,6,3,2.0,2 Car/Detached Garage,1960,63,44,Dana L Flanagan,2030534951,danalflanagan@example.com,2022,2022-10,Friday
170496832,CLSD,2022-08-10,SF,345000,362000.0,826 Wells Rd,Wethersfield,0.66,2036,2036,"Cape Cod, Colonial",7,3,2.0,"2 Car/Attached Garage, Paved",1915,3,45,Michael Willin,4750819649,michaelwillin@example.com,2022,2022-08,Wednesday
170519512,CLSD,2023-02-02,SF,235000,235000.0,340 New Britain Rd,Berlin,0.22,1061,1061,Cape Cod,5,3,1.5," Car/Paved, Driveway",1955,68,45,Michael Willin,4750819649,michaelwillin@example.com,2023,2023-02,Thursday
170508478,CLSD,2022-08-28,SF,199900,241000.0,114 Schultz Rd,Berlin,0.26,1763,1066,Ranch,6,3,2.0," Car/Paved, Driveway",1958,3,46,Teresa Vitelli,9597346476,teresavitelli@example.com,2022,2022-08,Sunday
170476016,CLSD,2022-05-22,SF,279900,285000.0,22 Hillside St,Newington,0.14,1350,1350,Colonial,7,3,1.5,1 Car/Detached Garage,1924,14,47,Cathleen B Hall,9590277112,cathleenbhall@example.com,2022,2022-05,Sunday
170478721,CLSD,2022-05-12,SF,249900,260000.0,187 Richard St,Newington,1.0,1866,1366,Ranch,6,3,2.0,1 Car/Attached Garage,1952,4,47,Cathleen B Hall,9590277112,cathleenbhall@example.com,2022,2022-05,Thursday
170503079,CLSD,2022-08-17,SF,279900,295000.0,139 John St,Newington,0.14,1672,1672,Split Level,8,3,1.5,1 Car/Under House Garage,1968,6,47,Cathleen B Hall,9590277112,cathleenbhall@example.com,2022,2022-08,Wednesday
170516450,CLSD,2022-09-06,SF,339900,335000.0,119 Beacon St,Newington,0.46,1652,1652,Ranch,7,3,1.5,2 Car/Attached Garage,1968,2,47,Cathleen B Hall,9590277112,cathleenbhall@example.com,2022,2022-09,Tuesday
170517343,CLSD,2022-09-29,SF,249900,268000.0,295 Alling St,Berlin,0.27,1267,1267,Cape Cod,6,3,1.5,1 Car/Attached Garage,1954,9,47,Cathleen B Hall,9590277112,cathleenbhall@example.com,2022,2022-09,Thursday
170463437,CLSD,2022-04-06,SF,255000,281000.0,22 Timber Hill Rd,Plainville,0.53,1610,1130,Ranch,5,3,1.5,1 Car/Carport,1966,4,48,Leslie Blaser,8602318993,leslieblaser@example.com,2022,2022-04,Wednesday
170466939,CLSD,2022-04-14,SF,299900,320000.0,24 Metacomet Rd,Plainville,0.34,1372,1372,Ranch,5,3,2.0,2 Car/Attached Garage,1964,35,48,Leslie Blaser,8602318993,leslieblaser@example.com,2022,2022-04,Thursday
170508183,CLSD,2022-09-29,SF,284900,288000.0,19 Terry Rd,Berlin,0.33,1308,1308,Ranch,6,3,2.0, Car/Off Street Parking,1971,47,48,Leslie Blaser,8602318993,leslieblaser@example.com,2022,2022-09,Thursday
170496772,CLSD,2022-08-01,SF,273000,292000.0,92 Schultz Rd,Berlin,0.26,1726,1426,Cape Cod,6,3,2.0,1 Car/Attached Garage,1961,10,49,Michael H Barnes,9591478171,michaelhbarnes@example.com,2022,2022-08,Monday
170545210,CLSD,2023-02-22,SF,285000,300000.0,502 Lower Ln,Berlin,0.47,1232,1232,Ranch,6,3,2.0,1 Car/Under House Garage,1961,6,50,Joanne Alfieri,2034261612,joannealfieri@example.com,2023,2023-02,Wednesday
170519762,CLSD,2022-09-30,SF,275000,300000.0,94 Hudson St,Berlin,0.08,1596,1496,Ranch,7,3,2.0,"1 Car/Attached Garage, Under House Garage",1925,0,51,Lauren Freedman,8609509238,laurenfreedman@example.com,2022,2022-09,Friday
170493959,CLSD,2022-08-23,SF,314900,300000.0,62 Garden Dr,Berlin,0.39,1470,1470,Colonial,6,3,1.5,1 Car/Attached Garage,1965,75,52,Patricia M DiMugno,4755709558,patriciamdimugno@example.com,2022,2022-08,Tuesday
